15;0.455;0.15;0.365
7;0.35;0.07;0.265
9;0.53;0.21;0.42
10;0.44;0.155;0.365
7;0.33;0.055;0.255
8;0.425;0.12;0.3
20;0.53;0.33;0.415
16;0.545;0.26;0.425
9;0.475;0.165;0.37
19;0.55;0.32;0.44
14;0.525;0.21;0.38
10;0.43;0.135;0.35
11;0.49;0.19;0.38
10;0.535;0.205;0.405
10;0.47;0.185;0.355
12;0.5;0.24;0.4
7;0.355;0.115;0.28
10;0.44;0.13;0.34
7;0.365;0.1;0.295
9;0.45;0.115;0.32
11;0.355;0.075;0.28
10;0.38;0.085;0.275
12;0.565;0.27;0.44
9;0.55;0.2;0.415
10;0.615;0.305;0.48
11;0.56;0.3;0.44
11;0.58;0.285;0.45
12;0.59;0.28;0.445
15;0.605;0.295;0.475
11;0.575;0.2;0.425
10;0.58;0.33;0.47
15;0.68;0.46;0.56
18;0.665;0.35;0.525
19;0.68;0.455;0.55
13;0.705;0.49;0.55
8;0.465;0.125;0.355
16;0.54;0.34;0.475
8;0.45;0.145;0.355
11;0.575;0.26;0.445
9;0.355;0.09;0.29
9;0.45;0.115;0.335
14;0.55;0.27;0.425
5;0.24;0.02;0.175
5;0.205;0.012;0.15
4;0.21;0.015;0.15
7;0.39;0.075;0.295
9;0.47;0.14;0.37
7;0.46;0.15;0.375
6;0.325;0.045;0.245
9;0.525;0.245;0.425
8;0.52;0.19;0.41
7;0.4;0.1;0.32
10;0.485;0.16;0.36
10;0.47;0.15;0.36
7;0.405;0.11;0.31
8;0.5;0.22;0.4
8;0.445;0.135;0.35
8;0.47;0.17;0.385
4;0.245;0.025;0.19
7;0.505;0.175;0.4
7;0.45;0.135;0.345
9;0.505;0.175;0.405
10;0.53;0.2;0.41
7;0.425;0.1;0.325
8;0.52;0.185;0.4
8;0.475;0.135;0.355
12;0.565;0.32;0.44
13;0.595;0.485;0.495
10;0.475;0.17;0.39
6;0.31;0.045;0.235
13;0.555;0.275;0.425
8;0.4;0.1;0.32
20;0.595;0.425;0.475
11;0.57;0.38;0.48
13;0.605;0.315;0.45
15;0.6;0.28;0.475
9;0.595;0.315;0.475
10;0.6;0.305;0.47
11;0.555;0.285;0.425
14;0.615;0.345;0.475
9;0.575;0.285;0.445
12;0.62;0.675;0.51
16;0.52;0.32;0.425
21;0.595;0.58;0.475
14;0.58;0.36;0.45
12;0.57;0.44;0.465
13;0.625;0.4;0.465
10;0.56;0.26;0.44
9;0.46;0.165;0.355
12;0.575;0.33;0.45
15;0.565;0.255;0.425
12;0.555;0.26;0.44
13;0.595;0.39;0.465
10;0.625;0.39;0.495
15;0.695;0.485;0.56
14;0.665;0.48;0.535
9;0.535;0.25;0.435
8;0.47;0.145;0.375
7;0.47;0.165;0.37
10;0.475;0.155;0.375
7;0.36;0.075;0.265
15;0.55;0.255;0.435
15;0.53;0.335;0.435
10;0.53;0.205;0.415
12;0.605;0.345;0.47
12;0.52;0.235;0.41
11;0.545;0.28;0.43
10;0.5;0.22;0.4
9;0.51;0.2;0.39
9;0.435;0.13;0.395
9;0.495;0.155;0.395
9;0.465;0.175;0.36
9;0.435;0.105;0.32
9;0.425;0.165;0.35
11;0.545;0.21;0.41
11;0.53;0.18;0.415
11;0.49;0.22;0.375
10;0.44;0.165;0.34
9;0.56;0.31;0.43
8;0.405;0.085;0.305
9;0.47;0.14;0.365
7;0.385;0.085;0.295
14;0.515;0.255;0.425
6;0.37;0.07;0.265
6;0.36;0.07;0.28
5;0.27;0.03;0.195
6;0.375;0.07;0.275
8;0.385;0.08;0.29
19;0.7;0.54;0.535
18;0.71;0.78;0.54
17;0.595;0.41;0.48
9;0.44;0.129;0.35
7;0.325;0.062;0.26
7;0.35;0.068;0.26
7;0.265;0.028;0.2
8;0.425;0.1355;0.33
7;0.305;0.048;0.23
9;0.345;0.063;0.255
9;0.405;0.117;0.325
9;0.375;0.0925;0.285
10;0.565;0.2475;0.445
10;0.55;0.2665;0.45
16;0.65;0.4465;0.52
11;0.56;0.2425;0.455
10;0.475;0.17;0.375
10;0.49;0.174;0.38
10;0.46;0.1565;0.35
9;0.28;0.042;0.205
5;0.175;0.0125;0.13
4;0.17;0.01;0.13
15;0.59;0.325;0.475
9;0.605;0.335;0.5
10;0.635;0.45;0.515
10;0.605;0.355;0.485
12;0.565;0.31;0.45
10;0.515;0.21;0.405
13;0.575;0.34;0.46
16;0.645;0.635;0.485
13;0.58;0.285;0.455
13;0.575;0.44;0.46
13;0.605;0.34;0.465
13;0.605;0.28;0.485
12;0.61;0.345;0.485
18;0.725;1.005;0.56
16;0.65;0.815;0.545
14;0.725;0.725;0.57
20;0.725;0.85;0.575
20;0.68;0.65;0.57
14;0.705;0.76;0.56
12;0.68;0.62;0.515
14;0.695;0.59;0.55
7;0.53;0.255;0.395
8;0.525;0.285;0.435
8;0.52;0.22;0.405
5;0.235;0.015;0.16
7;0.36;0.075;0.26
5;0.315;0.035;0.21
8;0.315;0.05;0.245
4;0.225;0.015;0.16
11;0.58;0.35;0.475
14;0.57;0.295;0.48
21;0.64;0.57;0.51
10;0.56;0.3;0.45
10;0.62;0.325;0.475
12;0.645;0.46;0.51
13;0.62;0.355;0.49
12;0.63;0.285;0.48
10;0.63;0.38;0.5
11;0.63;0.315;0.48
9;0.585;0.29;0.46
13;0.615;0.325;0.48
12;0.61;0.36;0.485
14;0.58;0.36;0.45
8;0.355;0.15;0.275
10;0.51;0.195;0.4
12;0.5;0.245;0.405
11;0.505;0.21;0.41
16;0.64;0.465;0.5
15;0.56;0.26;0.45
10;0.585;0.285;0.46
9;0.45;0.135;0.345
13;0.5;0.285;0.4
12;0.5;0.23;0.4
13;0.53;0.275;0.435
8;0.42;0.12;0.335
9;0.44;0.16;0.34
9;0.4;0.12;0.3
8;0.435;0.12;0.34
13;0.525;0.31;0.415
7;0.37;0.08;0.28
10;0.49;0.22;0.365
7;0.335;0.06;0.25
12;0.415;0.12;0.325
9;0.5;0.205;0.405
14;0.485;0.235;0.395
10;0.55;0.255;0.405
8;0.45;0.135;0.35
7;0.405;0.11;0.3
10;0.47;0.165;0.36
8;0.415;0.105;0.305
9;0.445;0.14;0.325
11;0.47;0.18;0.35
9;0.49;0.19;0.375
11;0.445;0.155;0.355
10;0.425;0.1;0.38
9;0.5;0.155;0.37
7;0.39;0.09;0.29
7;0.365;0.07;0.27
11;0.58;0.35;0.465
15;0.53;0.245;0.415
13;0.555;0.275;0.445
14;0.565;0.325;0.44
22;0.625;0.435;0.505
7;0.275;0.035;0.215
12;0.44;0.125;0.35
9;0.295;0.04;0.225
1;0.075;0.0015;0.055
3;0.13;0.004;0.1
3;0.11;0.003;0.09
5;0.16;0.005;0.12
17;0.565;0.275;0.425
5;0.27;0.035;0.2
5;0.23;0.02;0.175
8;0.3;0.04;0.23
8;0.33;0.06;0.255
10;0.35;0.06;0.26
13;0.32;0.05;0.245
9;0.36;0.07;0.275
7;0.305;0.045;0.245
7;0.345;0.07;0.27
7;0.33;0.06;0.25
13;0.59;0.36;0.47
12;0.595;0.3;0.455
15;0.575;0.345;0.46
15;0.6;0.34;0.495
15;0.56;0.37;0.45
19;0.56;0.41;0.45
10;0.545;0.345;0.46
15;0.635;0.365;0.505
13;0.59;0.295;0.475
11;0.54;0.26;0.475
12;0.57;0.27;0.44
11;0.53;0.245;0.42
4;0.245;0.026;0.195
6;0.27;0.04;0.2
11;0.46;0.16;0.38
14;0.52;0.235;0.45
8;0.35;0.0905;0.275
9;0.47;0.255;0.39
13;0.45;0.17;0.36
22;0.64;0.55;0.525
16;0.59;0.37;0.5
14;0.62;0.385;0.485
15;0.63;0.45;0.505
13;0.63;0.41;0.515
22;0.655;0.585;0.54
12;0.66;0.49;0.53
18;0.61;0.69;0.5
20;0.635;0.43;0.525
11;0.515;0.25;0.425
15;0.535;0.3;0.415
7;0.36;0.075;0.285
9;0.455;0.15;0.355
14;0.485;0.225;0.395
14;0.515;0.31;0.38
10;0.535;0.285;0.415
10;0.53;0.205;0.435
17;0.495;0.205;0.4
9;0.44;0.19;0.355
10;0.535;0.24;0.435
17;0.54;0.325;0.435
12;0.565;0.355;0.505
15;0.61;0.315;0.475
